step,wall_time,tokens,lr,train_loss,val_loss,grad_norm
15800,1978.1,129433600,0.00058883,1.4457,1.4806,0.3643
15850,1984.4,129843200,0.00058224,1.4302,1.4776,0.3584
15900,1990.7,130252800,0.00057572,1.4545,1.4797,0.3648
15950,1996.9,130662400,0.00056927,1.4675,1.4790,0.3745
16000,2003.2,131072000,0.00056289,1.4282,1.4715,0.3743
16050,2010.0,131481600,0.00055657,1.4704,1.4760,0.3873
16100,2016.5,131891200,0.00055032,1.4847,1.4729,0.3623
16150,2022.8,132300800,0.00054414,1.4583,1.4705,0.3788
16200,2029.1,132710400,0.00053804,1.4311,1.4733,0.3878
16250,2035.4,133120000,0.00053200,1.4153,1.4725,0.3806
16300,2041.7,133529600,0.00052603,1.3835,1.4721,0.3756
16350,2048.0,133939200,0.00052013,1.4938,1.4671,0.4150
16400,2054.2,134348800,0.00051431,1.4050,1.4654,0.3605
16450,2060.5,134758400,0.00050855,1.5186,1.4616,0.3873
16500,2066.8,135168000,0.00050287,1.4676,1.4627,0.3980
16550,2073.1,135577600,0.00049726,1.4722,1.4619,0.3721
16600,2079.5,135987200,0.00049172,1.4853,1.4612,0.3672
16650,2085.8,136396800,0.00048626,1.4398,1.4596,0.3622
16700,2092.1,136806400,0.00048087,1.4819,1.4619,0.3723
16750,2098.3,137216000,0.00047555,1.3727,1.4600,0.3836
16800,2104.5,137625600,0.00047030,1.4730,1.4584,0.3962
16850,2110.7,138035200,0.00046513,1.4870,1.4572,0.3884
16900,2116.9,138444800,0.00046004,1.4134,1.4542,0.3750
16950,2123.1,138854400,0.00045502,1.4944,1.4531,0.4120
17000,2129.3,139264000,0.00045007,1.4078,1.4512,0.3728
17050,2135.5,139673600,0.00044520,1.4555,1.4504,0.4052
17100,2141.7,140083200,0.00044041,1.5031,1.4503,0.3823
17150,2147.9,140492800,0.00043569,1.3756,1.4493,0.3816
17200,2154.1,140902400,0.00043105,1.3900,1.4471,0.4046
17250,2160.3,141312000,0.00042648,1.4542,1.4460,0.4047
17300,2166.5,141721600,0.00042200,1.4034,1.4462,0.3820
17350,2172.8,142131200,0.00041759,1.3871,1.4458,0.3921
17400,2179.0,142540800,0.00041325,1.4116,1.4470,0.3889
17450,2185.2,142950400,0.00040900,1.4698,1.4447,0.3860
17500,2191.4,143360000,0.00040482,1.4340,1.4426,0.3762
17550,2197.6,143769600,0.00040072,1.4985,1.4436,0.3897
17600,2203.8,144179200,0.00039670,1.5207,1.4426,0.4299
17650,2210.0,144588800,0.00039276,1.3374,1.4396,0.3784
17700,2216.2,144998400,0.00038890,1.4599,1.4426,0.3896
17750,2222.4,145408000,0.00038512,1.4120,1.4425,0.3823
17800,2228.6,145817600,0.00038141,1.3926,1.4380,0.3749
17850,2234.8,146227200,0.00037779,1.4862,1.4366,0.4003
17900,2241.0,146636800,0.00037425,1.5716,1.4356,0.3996
17950,2247.2,147046400,0.00037079,1.4588,1.4391,0.3888
18000,2253.4,147456000,0.00036740,1.5278,1.4390,0.4105
18050,2259.9,147865600,0.00036410,1.4461,1.4345,0.4020
18100,2266.1,148275200,0.00036088,1.3956,1.4344,0.3819
18150,2272.3,148684800,0.00035774,1.3741,1.4343,0.4040
18200,2278.5,149094400,0.00035468,1.3896,1.4357,0.4014
18250,2284.8,149504000,0.00035171,1.5111,1.4325,0.4148
18300,2291.0,149913600,0.00034881,1.4892,1.4317,0.4267
18350,2297.3,150323200,0.00034600,1.4020,1.4307,0.3915
18400,2303.6,150732800,0.00034327,1.3330,1.4308,0.4016
18450,2309.9,151142400,0.00034062,1.3965,1.4307,0.3806
18500,2316.2,151552000,0.00033805,1.4852,1.4294,0.4071
18550,2322.4,151961600,0.00033557,1.3669,1.4281,0.4042
18600,2328.7,152371200,0.00033317,1.3486,1.4280,0.3848
18650,2335.3,152780800,0.00033085,1.4434,1.4271,0.4057
18700,2341.9,153190400,0.00032862,1.3263,1.4249,0.3996
18750,2348.4,153600000,0.00032646,1.4334,1.4246,0.4095
18800,2354.9,154009600,0.00032440,1.3422,1.4238,0.3933
18850,2361.5,154419200,0.00032241,1.4115,1.4214,0.3901
18900,2367.7,154828800,0.00032051,1.3876,1.4211,0.4029
18950,2373.9,155238400,0.00031869,1.4417,1.4237,0.3981
19000,2380.1,155648000,0.00031696,1.3877,1.4212,0.3992
19050,2386.3,156057600,0.00031531,1.3405,1.4211,0.4005
19100,2392.5,156467200,0.00031374,1.4597,1.4214,0.4217
19150,2398.7,156876800,0.00031226,1.3569,1.4229,0.4185
19200,2404.9,157286400,0.00031086,1.3721,1.4204,0.3985
19250,2411.1,157696000,0.00030955,1.4487,1.4199,0.4117
19300,2417.3,158105600,0.00030832,1.2999,1.4220,0.4096
19350,2423.5,158515200,0.00030717,1.5187,1.4204,0.4259
19400,2429.7,158924800,0.00030611,1.3246,1.4175,0.4003
19450,2435.8,159334400,0.00030514,1.4435,1.4176,0.4077
19500,2442.0,159744000,0.00030425,1.4903,1.4194,0.4334
19550,2448.2,160153600,0.00030344,1.3963,1.4220,0.4311
19600,2454.4,160563200,0.00030272,1.3536,1.4216,0.3950
19650,2460.6,160972800,0.00030208,1.4717,1.4193,0.4096
19700,2466.8,161382400,0.00030153,1.3902,1.4180,0.4275
19750,2473.0,161792000,0.00030106,1.3951,1.4164,0.4053
19800,2479.2,162201600,0.00030068,1.4154,1.4165,0.4137
19850,2485.4,162611200,0.00030038,1.3368,1.4139,0.4086
19900,2491.6,163020800,0.00030017,1.4268,1.4151,0.4250
19950,2497.9,163430400,0.00030004,1.4633,1.4152,0.4290
20000,2504.1,163840000,0.00030000,1.4204,1.4157,0.4148
